,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,"Know Your Worth",Khalid,1157157,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
109,BOP,DaBaby,1120634,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
110,"when the party's over","Billie Eilish",1118630,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
111,"7 rings","Ariana Grande",1102890,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
112,"Goodbyes (Feat. Young Thug)","Post Malone",1102831,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
113,"Lose You To Love Me","Selena Gomez",1102423,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
114,Lalala,Y2K,1099401,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
115,<3,"Bad Bunny",1096478,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
116,"Never Seen the Rain","Tones And I",1091090,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
117,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1083671,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
118,ON,BTS,1080198,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
119,"Feel Me","Selena Gomez",1067001,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
120,"Watermelon Sugar","Harry Styles",1053194,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
121,"B.S. (feat. H.E.R.)","Jhené Aiko",1052828,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
122,Blanco,"J Balvin",1043136,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
123,"Old Town Road - Remix","Lil Nas X",1033999,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
124,SUGAR,BROCKHAMPTON,1021081,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
125,Woah,"Lil Baby",1018322,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
126,"Who (feat. BTS)",Lauv,1012395,https://open.spotify.com/track/2qG81jL9UIP54uS8gYyP4k
127,Believer,"Imagine Dragons",1003527,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
128,Happier,Marshmello,998041,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
129,Medusa,"Jhay Cortez",997668,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
130,"It's You","Ali Gatie",996508,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
131,Wow.,"Post Malone",994862,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
132,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",992012,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
133,"No Idea","Don Toliver",978749,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
134,"Bohemian Rhapsody - 2011 Mix",Queen,975908,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
135,"Go Stupid","Polo G",961752,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
136,Falling,"Harry Styles",956938,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
137,"P FKN R","Bad Bunny",956886,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
138,"XO Tour Llif3","Lil Uzi Vert",950210,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
139,"The Other Side (from Trolls World Tour)",SZA,939368,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
140,"Whine Up","Nicky Jam",929368,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
141,Sucker,"Jonas Brothers",919764,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
142,Ransom,"Lil Tecca",917955,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
143,"Ayy Macarena",Tyga,914364,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
144,Angst,Loredana,913051,https://open.spotify.com/track/3R3rQ7FbTJdsi5She10YvI
145,"OUT WEST (feat. Young Thug)",JACKBOYS,910472,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
146,"Shape of You","Ed Sheeran",899350,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
147,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",897191,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
148,"How Do You Sleep?","Sam Smith",896308,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
149,"Heatin Up (feat. Gunna)","Lil Baby",895623,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
150,"Alone, Pt. II","Alan Walker",893311,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
151,"ON (Feat. Sia)",BTS,889938,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
152,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,887079,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
153,"Modern Loneliness",Lauv,866386,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
